molecule;SMILES;InChIKey;InChI
CoCl2;[Cl-].[Cl-].[Co+2];GVPFVAHMJGGAJG-UHFFFAOYSA-L;"InChI=1S/2ClH.Co/h2*1H;/q;;+2/p-2"
CoCL2.6H2O;O.O.O.O.O.O.[Cl-].[Cl-].[Co+2];GFHNAMRJFCEERV-UHFFFAOYSA-L;"InChI=1S/2ClH.Co.6H2O/h2*1H;;6*1H2/q;;+2;;;;;;/p-2"
Co(NO3)2;[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Co+2];UFMZWBIQTDUYBN-UHFFFAOYSA-N;"InChI=1S/Co.2NO3/c;2*2-1(3)4/q+2;2*-1"
Co;[Co];GUTLYIVDDKVIGB-UHFFFAOYSA-N;InChI=1S/Co
60Co;[60Co];GUTLYIVDDKVIGB-OUBTZVSYSA-N;InChI=1S/Co/i1+1
Co++;[Co+2];XLJKHNWPARRRJB-UHFFFAOYSA-N;InChI=1S/Co/q+2
Co2+;[Co+2];XLJKHNWPARRRJB-UHFFFAOYSA-N;InChI=1S/Co/q+2
HNO3;[N+](=O)(O)[O-];GRYLNZFGIOXLOG-UHFFFAOYSA-N;InChI=1S/HNO3/c2-1(3)4/h(H,2,3,4)
HCl;Cl;VEXZGXHMUGYJMC-UHFFFAOYSA-N;InChI=1S/ClH/h1H
